post_id,title,category,score,num_comments,author,collected_at,engagement
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,97,44,henrygarner,2026-04-07 16:51:23,141
47673541,LLM may be standardizing human expression – and subtly influencing how we think,technology,66,50,giuliomagnifico,2026-04-07 16:51:24,116
47672318,Blackholing My Email,technology,57,2,semyonsh,2026-04-07 16:51:29,59
47672295,Every GPU That Mattered,technology,145,73,jonbaer,2026-04-07 16:51:32,218
47670981,"Three hundred synths, 3 hardware projects, and one app",technology,71,4,ductionist,2026-04-07 16:51:41,75
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1183,638,StanAngeloff,2026-04-07 16:51:42,1821
47641528,Apollo Guidance Computer restoration videos,technology,72,10,mariuz,2026-04-07 16:51:52,82
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,214,338,flinner,2026-04-07 16:51:55,552
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",technology,112,23,kitfunso,2026-04-07 16:52:03,135
47673576,Why your new computer is SLOWER than your OLD computer [video],technology,5,0,tiernano,2026-04-07 16:52:07,5
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",technology,143,224,tantalor,2026-04-07 16:52:12,367
47647397,Build web apps for smart glasses,technology,12,6,mozz100,2026-04-07 16:52:13,18
47671527,Some iPhone Apps Receive Mysterious Update 'From Apple',technology,64,19,tosh,2026-04-07 16:52:18,83
47636937,Eighteen Years of Greytrapping – Is the Weirdness Finally Paying Off?,technology,77,5,jruohonen,2026-04-07 16:52:24,82
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,876,129,armanified,2026-04-07 16:52:25,1005
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,314,148,rglullis,2026-04-07 16:52:27,462
47673444,"No ""New Deal"" for OpenAI",technology,4,1,jger15,2026-04-07 16:52:28,5
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,276,35,karimf,2026-04-07 16:52:32,311
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,130,70,stevebmark,2026-04-07 16:52:34,200
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,152,21,ikessler,2026-04-07 16:52:37,173
47652400,Why Switzerland has 25 Gbit internet and America doesn't,technology,781,660,sschueller,2026-04-07 16:52:41,1441
47648828,"Eight years of wanting, three months of building with AI",technology,934,291,brilee,2026-04-07 16:52:46,1225
47661439,I won't download your app. The web version is a-ok,technology,885,520,ssiddharth,2026-04-07 16:52:47,1405
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,442,282,thisislife2,2026-04-07 16:52:54,724
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,214,26,desideratum,2026-04-07 16:52:55,240
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,71,4,ductionist,2026-04-07 16:53:16,75
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,313,154,Bender,2026-04-07 16:53:29,467
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,294,82,player_piano,2026-04-07 16:53:31,376
47673208,The Hacker News Tarpit,worldnews,10,0,latexr,2026-04-07 16:53:50,10
47673182,Health benefits of Paris climate goals could save lives by 2040,worldnews,4,0,lentoutcry,2026-04-07 16:54:16,4
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,963,605,zaikunzhang,2026-04-07 16:54:48,1568
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,34,34,dogscatstrees,2026-04-07 16:54:52,68
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-07 16:55:30,24
47672537,Trump dilemma for US officers: disobey orders or commit war crimes,worldnews,6,0,KnuthIsGod,2026-04-07 16:56:34,6
47669072,The Hacker News Tarpit,worldnews,9,2,sonicrocketman,2026-04-07 16:56:48,11
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,592,209,pretext,2026-04-07 16:56:58,801
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-07 16:57:03,79
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-07 16:57:55,19
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-07 16:58:09,54
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-07 16:58:22,118
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-07 16:58:27,58
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-07 16:58:42,445
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-07 16:58:48,69
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,worldnews,87,30,ronfriedhaber,2026-04-07 16:58:56,117
47636765,Endian wars and anti-portability: this again?,worldnews,46,62,awilfox,2026-04-07 16:59:00,108
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,17,zdw,2026-04-07 17:00:02,69
47649904,Will there still be professional software developers?,worldnews,4,1,gradys,2026-04-07 17:00:04,5
